side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
before	4	current	arena_scale	128	25000	0.289	11.57		ok
before	4	current	arena_scale	384	25000	1.834	73.35		ok
before	4	current	arena_scale	768	25000	4.980	199.18		ok
before	4	current	arena_scale	1536	25000	9.647	385.88		ok
after	4	current	cache_resident	100	163	0.183	5.61		ok
after	4	current	cache_resident	128	128	0.147	5.72		ok
after	4	current	cache_resident	384	42	0.158	18.75		ok
after	4	current	cache_resident	768	21	0.124	29.50		ok
after	4	current	cache_resident	1536	10	0.114	56.87		ok
after	4	current	arena_scale	100	25000	0.533	21.31		ok
after	4	current	arena_scale	128	25000	0.823	32.92		ok
after	4	current	arena_scale	384	25000	1.775	71.00		ok
after	4	current	arena_scale	768	25000	3.583	143.30		ok
after	4	current	arena_scale	1536	25000	9.201	368.02		ok
after	4	block_single	cache_resident	128		0.144			ok
after	4	block4	cache_resident	128		0.134		0.931	ok
after	4	block_single	cache_resident	768		0.127			ok
after	4	block4	cache_resident	768		0.128		1.005	ok
after	4	block_single	arena_scale	128		0.614			ok
after	4	block4	arena_scale	128		0.616		1.004	ok
after	4	block_single	arena_scale	768		4.901			ok
after	4	block4	arena_scale	768		4.928		1.006	ok
after	4	block_ref	cache_resident	128		0.161		1.0228	ok
after	4	block_ref	cache_resident	768		0.124		1.8432	ok
after	4	block_ref	arena_scale	128		0.643		0.2966	ok
after	4	block_ref	arena_scale	768		3.522		0.6417	ok
before	5	current	cache_resident	100	163	0.573	17.59		ok
before	5	current	cache_resident	128	128	0.543	21.23		ok
before	5	current	cache_resident	384	42	0.602	71.65		ok
before	5	current	cache_resident	768	21	0.655	156.05		ok
before	5	current	cache_resident	1536	10	0.648	324.06		ok
before	5	current	arena_scale	100	25000	1.876	75.04		ok
before	5	current	arena_scale	128	25000	1.921	76.84		ok
before	5	current	arena_scale	384	25000	2.554	102.14		ok
before	5	current	arena_scale	768	25000	5.289	211.56		ok
before	5	current	arena_scale	1536	25000	6.963	278.51		ok
after	5	current	cache_resident	100	163	0.188	5.76		ok
after	5	current	cache_resident	128	128	0.150	5.85		ok
after	5	current	cache_resident	384	42	0.158	18.86		ok
after	5	current	cache_resident	768	21	0.129	30.64		ok
after	5	current	cache_resident	1536	10	0.120	60.13		ok
after	5	current	arena_scale	100	25000	0.321	12.84		ok
after	5	current	arena_scale	128	25000	0.560	22.42		ok
after	5	current	arena_scale	384	25000	2.264	90.56		ok
after	5	current	arena_scale	768	25000	5.307	212.26		ok
after	5	current	arena_scale	1536	25000	10.109	404.37		ok
after	5	block_single	cache_resident	128		0.136			ok
after	5	block4	cache_resident	128		0.127		0.932	ok
after	5	block_single	cache_resident	768		0.120			ok
after	5	block4	cache_resident	768		0.121		1.007	ok
after	5	block_single	arena_scale	128		0.266			ok
after	5	block4	arena_scale	128		0.257		0.964	ok
after	5	block_single	arena_scale	768		3.546			ok
after	5	block4	arena_scale	768		3.501		0.987	ok
after	5	block_ref	cache_resident	128		0.149		0.1790	ok
after	5	block_ref	cache_resident	768		0.120		0.0405	ok
after	5	block_ref	arena_scale	128		0.287		0.1863	ok
after	5	block_ref	arena_scale	768		4.238		0.3298	ok
