point	side	pair	cpu_p50	cpu_p95	f16_p50	f16_p95	f32_p50	f32_p95	mismatch	line	i8_oversample	i8_p50	i8_p95	i8_recall	i8_mismatch	i8_status	i8_reason	f16_arith_dispatches	f16_arith_guard_fallbacks
100000:128:64	before	1	82751	83146	81693	82953	151359	155016	0	measured						unsupported
100000:128:64	after	1	84487	85113	16560	17324	21108	21302	0	measured	4	300032	305089	1.0000	0	measured		0	40
100000:128:64	before	2	83895	84859	114839	120722	183841	190999	0	measured						unsupported
100000:128:64	after	2	86237	86489	17121	20973	20900	21242	0	measured	4	308603	312614	1.0000	0	measured		0	40
100000:128:64	before	3	83154	84311	80731	83793	151687	154602	0	measured						unsupported
100000:128:64	after	3	84996	85360	16276	16355	20914	21434	0	measured	4	308002	311437	1.0000	0	measured		0	40
100000:128:64	before	4	83061	83571	80330	81704	149535	153413	0	measured						unsupported
100000:128:64	after	4	85182	85980	16860	17723	20652	20784	0	measured	4	305674	309838	1.0000	0	measured		0	40
100000:128:64	before	5	83073	83328	80462	81735	151839	155453	0	measured						unsupported
100000:128:64	after	5	85107	86177	16537	16650	21163	24063	0	measured	4	442556	571504	1.0000	0	measured		0	40
20000:128:8	before	1	5272	5339	1588	3565	2620	5762	1	measured						unsupported
20000:128:8	after	1	5597	5670	999	3661	736	889	1	measured	4	7952	11085	1.0000	0	measured		0	40
20000:128:8	before	2	5296	8349	1783	6470	1936	2038	1	measured						unsupported
20000:128:8	after	2	5630	5699	644	867	808	1007	1	measured	4	7778	9937	1.0000	0	measured		0	40
20000:128:8	before	3	6359	22927	2016	2756	2821	5538	1	measured						unsupported
20000:128:8	after	3	5500	5937	692	912	773	848	1	measured	4	10231	13276	1.0000	0	measured		0	40
20000:128:8	before	4	11967	12337	1740	2843	2886	8003	1	measured						unsupported
20000:128:8	after	4	5509	5563	782	1546	766	899	1	measured	4	8159	12516	1.0000	0	measured		0	40
20000:128:8	before	5	12268	12506	2421	4273	2626	3718	1	measured						unsupported
20000:128:8	after	5	6373	6421	590	602	903	1165	1	measured	4	10221	18961	1.0000	0	measured		0	40
20000:128:64	before	1	17180	17301	15481	45811	17427	30369	1	measured						unsupported
20000:128:64	after	1	44994	46953	4167	4414	5217	5683	1	measured	4	74415	95745	1.0000	0	measured		0	40
20000:128:64	before	2	17181	21516	18911	36751	15967	40984	1	measured						unsupported
20000:128:64	after	2	17550	17674	4977	5080	6001	6621	1	measured	4	41964	48281	1.0000	0	measured		0	40
20000:128:64	before	3	16698	16773	11553	11631	13392	13559	1	measured						unsupported
20000:128:64	after	3	17075	17136	3819	3849	4974	5133	1	measured	4	41018	42888	1.0000	0	measured		0	40
20000:128:64	before	4	16805	17282	11530	13014	13539	15257	1	measured						unsupported
20000:128:64	after	4	17063	17537	4800	4831	5118	5228	1	measured	4	41980	59032	1.0000	0	measured		0	40
20000:128:64	before	5	17343	40703	18294	22704	20598	24569	1	measured						unsupported
20000:128:64	after	5	17624	17841	3794	4515	4747	5397	1	measured	4	40997	41394	1.0000	0	measured		0	40
100000:128:1	before	1	19286	19618	1441	2747	2572	3555	0	measured						unsupported
100000:128:1	after	1	23275	30260	1517	3127	2218	3961	0	measured	4	3949	4356	1.0000	0	measured		0	40
100000:128:1	before	2	19136	19533	1297	1328	2402	2639	0	measured						unsupported
