point	side	pair	cpu_p50	cpu_p95	f16_p50	f16_p95	f32_p50	f32_p95	mismatch	line	i8_oversample	i8_p50	i8_p95	i8_recall	i8_mismatch
20000:128:8	before	1	5053	5131	535	545	696	702	1	measured
20000:128:8	after	1	5146	5171	673	1362	807	1919	1	measured	4	6227	9292	1.0000	0
20000:128:8	before	2	5349	5485	665	2478	742	1796	1	measured
20000:128:8	after	2	5369	5529	581	2293	926	1107	1	measured	4	5641	7739	1.0000	0
20000:128:8	before	3	5587	8064	740	994	773	1355	1	measured
20000:128:8	after	3	5027	5079	530	535	713	799	1	measured	4	5146	5573	1.0000	0
20000:128:8	before	4	5090	5187	545	574	693	697	1	measured
20000:128:8	after	4	5323	5401	567	1128	723	1150	1	measured	4	5458	6196	1.0000	0
20000:128:8	before	5	5371	8738	532	536	692	695	1	measured
20000:128:8	after	5	5019	5047	537	539	706	762	1	measured	4	5305	5486	1.0000	0
100000:128:64	before	1	90499	114926	31619	44358	20492	21069	0	measured
100000:128:64	after	1	82970	95576	15645	17950	20732	22143	0	measured	4	294229	309910	1.0000	0
100000:128:64	before	2	81239	81540	15917	16235	20805	21218	0	measured
100000:128:64	after	2	85611	281989	15669	15810	20616	21290	0	measured	4	285196	310024	1.0000	0
100000:128:64	before	3	81075	81527	15840	16049	20891	21098	0	measured
100000:128:64	after	3	88618	89196	15828	16179	20694	20780	0	measured	4	305673	306634	1.0000	0
100000:128:64	before	4	82334	82660	15863	16069	21163	21262	0	measured
100000:128:64	after	4	82655	82869	16537	18455	21107	21206	0	measured	4	307188	311913	1.0000	0
100000:128:64	before	5	81302	81832	15498	16266	20817	20911	0	measured
100000:128:64	after	5	83141	83495	15811	16112	20778	20997	0	measured	4	312985	713406	1.0000	0
100000:256:64	before	1	137775	248317	21540	21709	31938	32183	0	measured
100000:256:64	after	1	138081	140412	21840	24778	31912	32085	0	measured	4	349059	361815	1.0000	0
100000:256:64	before	2	302560	808872	21436	21704	31415	31663	0	measured
100000:256:64	after	2	174322	285361	40567	60636	44795	58882	0	measured	4	325965	336079	1.0000	0
100000:256:64	before	3	137663	137921	21772	22016	32097	33058	0	measured
100000:256:64	after	3	138044	138405	22100	22370	31822	32486	0	measured	4	332491	346665	1.0000	0
100000:256:64	before	4	143472	143630	21749	22114	31718	32198	0	measured
100000:256:64	after	4	136905	137090	21769	21899	31918	32462	0	measured	4	370727	381490	1.0000	0
100000:256:64	before	5	138021	138581	21659	21952	32609	35940	0	measured
100000:256:64	after	5	137428	137623	21596	22694	31699	33575	0	measured	4	847015	1165166	1.0000	0
