side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
before	2	block4	cache_resident	128		0.124		0.924	ok
before	2	block_single	cache_resident	768		0.179			ok
before	2	block4	cache_resident	768		0.107		0.596	ok
before	2	block_single	arena_scale	128		0.203			ok
before	2	block4	arena_scale	128		0.205		1.010	ok
before	2	block_single	arena_scale	768		3.069			ok
before	2	block4	arena_scale	768		2.563		0.835	ok
before	2	block_ref	cache_resident	128		0.140		0.0628	ok
before	2	block_ref	cache_resident	768		0.198		0.0403	ok
before	2	block_ref	arena_scale	128		0.211		0.2247	ok
before	2	block_ref	arena_scale	768		3.110		0.0760	ok
after	2	current	cache_resident	100	163	0.180	5.52		ok
after	2	current	cache_resident	128	128	0.146	5.69		ok
after	2	current	cache_resident	384	42	0.152	18.11		ok
after	2	current	cache_resident	768	21	0.121	28.79		ok
after	2	current	cache_resident	1536	10	0.113	56.47		ok
after	2	current	arena_scale	100	25000	0.163	6.52		ok
after	2	current	arena_scale	128	25000	0.225	8.98		ok
after	2	current	arena_scale	384	25000	1.268	50.71		ok
after	2	current	arena_scale	768	25000	2.873	114.93		ok
after	2	current	arena_scale	1536	25000	5.826	233.03		ok
after	2	block_single	cache_resident	128		0.133			ok
after	2	block4	cache_resident	128		0.124		0.935	ok
after	2	block_single	cache_resident	768		0.115			ok
after	2	block4	cache_resident	768		0.116		1.008	ok
after	2	block_single	arena_scale	128		0.213			ok
after	2	block4	arena_scale	128		0.208		0.975	ok
after	2	block_single	arena_scale	768		2.908			ok
after	2	block4	arena_scale	768		2.918		1.003	ok
after	2	block_ref	cache_resident	128		0.146		1.1085	ok
after	2	block_ref	cache_resident	768		0.116		1.4350	ok
after	2	block_ref	arena_scale	128		0.228		0.1925	ok
after	2	block_ref	arena_scale	768		2.935		0.3058	ok
before	2c0	current	cache_resident	100	163	0.176	5.41		ok
before	2c0	current	cache_resident	128	128	0.139	5.44		ok
before	2c0	current	cache_resident	384	42	0.152	18.08		ok
before	2c0	current	cache_resident	768	21	0.186	44.29		ok
before	2c0	current	cache_resident	1536	10	0.206	102.80		ok
before	2c0	current	arena_scale	100	25000	0.166	6.64		ok
before	2c0	current	arena_scale	128	25000	0.237	9.48		ok
before	2c0	current	arena_scale	384	25000	1.226	49.04		ok
before	2c0	current	arena_scale	768	25000	3.127	125.06		ok
before	2c0	current	arena_scale	1536	25000	6.653	266.14		ok
before	2c0	block_single	cache_resident	128		0.134			ok
before	2c0	block4	cache_resident	128		0.124		0.927	ok
before	2c0	block_single	cache_resident	768		0.179			ok
before	2c0	block4	cache_resident	768		0.107		0.598	ok
before	2c0	block_single	arena_scale	128		0.201			ok
before	2c0	block4	arena_scale	128		0.203		1.010	ok
before	2c0	block_single	arena_scale	768		3.157			ok
before	2c0	block4	arena_scale	768		2.620		0.830	ok
before	2c0	block_ref	cache_resident	128		0.140		0.0532	ok
before	2c0	block_ref	cache_resident	768		0.179		0.0411	ok
before	2c0	block_ref	arena_scale	128		0.209		0.1911	ok
before	2c0	block_ref	arena_scale	768		3.161		0.1119	ok
cand384	2	current	cache_resident	100	163	0.180	5.52		ok
cand384	2	current	cache_resident	128	128	0.146	5.69		ok
cand384	2	current	cache_resident	384	42	0.123	14.66		ok
cand384	2	current	cache_resident	768	21	0.121	28.82		ok
cand384	2	current	cache_resident	1536	10	0.113	56.45		ok
cand384	2	current	arena_scale	100	25000	0.173	6.91		ok
cand384	2	current	arena_scale	128	25000	0.228	9.12		ok
cand384	2	current	arena_scale	384	25000	1.198	47.91		ok
cand384	2	current	arena_scale	768	25000	2.980	119.19		ok
cand384	2	current	arena_scale	1536	25000	5.847	233.88		ok
cand384	2	block_single	cache_resident	128		0.133			ok
cand384	2	block4	cache_resident	128		0.125		0.934	ok
cand384	2	block_single	cache_resident	768		0.115			ok
cand384	2	block4	cache_resident	768		0.116		1.007	ok
cand384	2	block_single	arena_scale	128		0.197			ok
cand384	2	block4	arena_scale	128		0.202		1.024	ok
cand384	2	block_single	arena_scale	768		2.783			ok
cand384	2	block4	arena_scale	768		2.764		0.993	ok
cand384	2	block_ref	cache_resident	128		0.146		0.0491	ok
cand384	2	block_ref	cache_resident	768		0.115		0.0679	ok
cand384	2	block_ref	arena_scale	128		0.204		0.1044	ok
cand384	2	block_ref	arena_scale	768		2.758		0.1620	ok
before	3	current	cache_resident	100	163	0.176	5.40		ok
before	3	current	cache_resident	128	128	0.139	5.45		ok
before	3	current	cache_resident	384	42	0.152	18.07		ok
before	3	current	cache_resident	768	21	0.186	44.29		ok
before	3	current	cache_resident	1536	10	0.200	99.89		ok
before	3	current	arena_scale	100	25000	0.174	6.96		ok
before	3	current	arena_scale	128	25000	0.246	9.84		ok
before	3	current	arena_scale	384	25000	1.264	50.55		ok
before	3	current	arena_scale	768	25000	3.119	124.78		ok
before	3	current	arena_scale	1536	25000	6.681	267.24		ok
before	3	block_single	cache_resident	128		0.134			ok
before	3	block4	cache_resident	128		0.124		0.925	ok
before	3	block_single	cache_resident	768		0.179			ok
before	3	block4	cache_resident	768		0.107		0.599	ok
before	3	block_single	arena_scale	128		0.207			ok
before	3	block4	arena_scale	128		0.210		1.013	ok
before	3	block_single	arena_scale	768		3.178			ok
before	3	block4	arena_scale	768		2.653		0.835	ok
before	3	block_ref	cache_resident	128		0.140		0.0723	ok
before	3	block_ref	cache_resident	768		0.179		0.0407	ok
before	3	block_ref	arena_scale	128		0.215		0.2244	ok
before	3	block_ref	arena_scale	768		3.186		0.2064	ok
after	3	current	cache_resident	100	163	0.186	5.71		ok
after	3	current	cache_resident	128	128	0.146	5.69		ok
after	3	current	cache_resident	384	42	0.152	18.12		ok
after	3	current	cache_resident	768	21	0.121	28.80		ok
after	3	current	cache_resident	1536	10	0.112	56.22		ok
after	3	current	arena_scale	100	25000	0.170	6.79		ok
after	3	current	arena_scale	128	25000	0.242	9.68		ok
after	3	current	arena_scale	384	25000	1.294	51.75		ok
after	3	current	arena_scale	768	25000	2.945	117.78		ok
after	3	current	arena_scale	1536	25000	5.779	231.18		ok
after	3	block_single	cache_resident	128		0.133			ok
after	3	block4	cache_resident	128		0.124		0.934	ok
after	3	block_single	cache_resident	768		0.115			ok
after	3	block4	cache_resident	768		0.116		1.009	ok
after	3	block_single	arena_scale	128		0.199			ok
after	3	block4	arena_scale	128		0.204		1.025	ok
after	3	block_single	arena_scale	768		2.733			ok
after	3	block4	arena_scale	768		2.739		1.002	ok
after	3	block_ref	cache_resident	128		0.146		0.2231	ok
after	3	block_ref	cache_resident	768		0.115		0.0805	ok
after	3	block_ref	arena_scale	128		0.209		0.2303	ok
after	3	block_ref	arena_scale	768		2.735		0.3408	ok
before	3c0	current	cache_resident	100	163	0.176	5.39		ok
before	3c0	current	cache_resident	128	128	0.140	5.46		ok
before	3c0	current	cache_resident	384	42	0.152	18.04		ok
before	3c0	current	cache_resident	768	21	0.186	44.33		ok
before	3c0	current	cache_resident	1536	10	0.204	102.17		ok
before	3c0	current	arena_scale	100	25000	0.195	7.81		ok
before	3c0	current	arena_scale	128	25000	0.263	10.51		ok
before	3c0	current	arena_scale	384	25000	1.315	52.60		ok
before	3c0	current	arena_scale	768	25000	3.200	127.99		ok
before	3c0	current	arena_scale	1536	25000	6.403	256.11		ok
before	3c0	block_single	cache_resident	128		0.134			ok
before	3c0	block4	cache_resident	128		0.124		0.927	ok
before	3c0	block_single	cache_resident	768		0.179			ok
before	3c0	block4	cache_resident	768		0.107		0.596	ok
before	3c0	block_single	arena_scale	128		0.198			ok
before	3c0	block4	arena_scale	128		0.203		1.026	ok
before	3c0	block_single	arena_scale	768		2.929			ok
before	3c0	block4	arena_scale	768		2.500		0.854	ok
before	3c0	block_ref	cache_resident	128		0.140		0.0779	ok
before	3c0	block_ref	cache_resident	768		0.180		0.0451	ok
before	3c0	block_ref	arena_scale	128		0.204		0.2060	ok
before	3c0	block_ref	arena_scale	768		2.904		0.0703	ok
cand384	3	current	cache_resident	100	163	0.180	5.53		ok
cand384	3	current	cache_resident	128	128	0.146	5.69		ok
cand384	3	current	cache_resident	384	42	0.123	14.68		ok
